,T1_ILT_Negative,T1_ILT_Positive,T1_ILT_Masculine,T1_ILT_Tyranny,T1_ILT_Dynamic,T1_ILT_Dedication,T1_ILT_Intelligence,T1_ILT_Sensitivity,T1Open,T1Neurotic,T1Conscientious,T1Agreeable,T1Extraversion,T1_Mindfulness,T1_CITOptimism,T1_CITEfficacy,T1_CITLonely,T1_CITSupport,T1PSS,T1SE,T1NA_low_AAS,T1NA_high_AAS,T1NA_AAS,T1PA_low_AAS,T1PA_high_AAS,T1PA_AAS,T1SWLS,T1Duration,T1Finished,Age,Gender,Ethnicity,Ethnicity_6_TEXT,Education,Major,Job,Hours,WorkExp,LeadExp,T1_Distracted,Condition.x,ID,T2_Mindfulness,T2PSS,T2NA_low_AAS,T2NA_high_AAS,T2NA_AAS,T2PA_low_AAS,T2PA_high_AAS,T2PA_AAS,T2Duration,T2_Distracted,T3_Mindfulness,T3PSS,T3NA_low_AAS,T3NA_high_AAS,T3NA_AAS,T3PA_low_AAS,T3PA_high_AAS,T3PA_AAS,T3Duration,T3_Distracted,T4_Mindfulness,T4PSS,T4NA_low_AAS,T4NA_high_AAS,T4NA_AAS,T4PA_low_AAS,T4PA_high_AAS,T4PA_AAS,T4Duration,T4_Distracted,T5_Mindfulness,T5PSS,T5NA_low_AAS,T5NA_high_AAS,T5NA_AAS,T5PA_low_AAS,T5PA_high_AAS,T5PA_AAS,T5Duration,T5_Distracted,T6_Mindfulness,T6PSS,T6NA_low_AAS,T6NA_high_AAS,T6NA_AAS,T6PA_low_AAS,T6PA_high_AAS,T6PA_AAS,T6Duration,T6_Distracted,T7_ILT_Negative,T7_ILT_Positive,T7_ILT_Masculine,T7_ILT_Tyranny,T7_ILT_Dynamic,T7_ILT_Dedication,T7_ILT_Intelligence,T7_ILT_Sensitivity,T7Open,T7Neurotic,T7Conscientious,T7Agreeable,T7Extraversion,T7_Mindfulness,T7_CITOptimism,T7_CITEfficacy,T7_CITLonely,T7_CITSupport,T7PSS,T7SE,T7NA_low_AAS,T7NA_high_AAS,T7NA_AAS,T7PA_low_AAS,T7PA_high_AAS,T7PA_AAS,T7SWLS,T7_SWLS_Before,T7_SWLS_After,T7_SE_Before,T7_SE_After,T7_CITSupport_Before,T7_CITSupport_After,T7_CITOptimism_Before,CIT_Optimism_2,T7_Happy_Before,T7_Happy_After,T7_Gratitude_Before,T7_Gratitude_After,MAAS_1_1,MAAS_2_1,T7_CITLonely_Before,T7_CITLonely_After,PhoneBrand,WhoPlayed,WhoPlayed_Ratio_1,WhoPlayed_Ratio_2,PlayTime_Day,PlayTime_Total,Play_AfterSurvey1,Useful,TrainCond,MeetNeeds_TrainCond,SimilarProd,EasyIntuitive,LooksFeels,WantMoreThanSimilar,Recommend,Review1to10_1,Review1to10_Why,LikeMostLeast,MostImportantFeature,FeatureToAdd,LeastAmountPay,MostAmountPay,WantProduct,FunToUse_1,LeastImportantFeatur,KeepPlaying,PreventFromPlay,FeelGoodAboutProduct_1,T7_Distracted,T7_DescribeDistract,StudyPurpose,Effort,Attention,UseData,Selfie,Words
11,4.625,8.769230769,6,4.166666667,7.666666667,10,9,8.333333333,6.333333333,4,4,4.666666667,6.166666667,2.4,6.333333333,6.666666667,3.666666667,6.666666667,3.25,64,1.8,3.5,2.727272727,5,4.75,4.857142857,3.8,503,1,24,1,1,NA,3,Psychology,2,0,4,4,2,1,25,2.8,3.5,2.8,1.833333333,2.272727273,6,4.75,5.285714286,270,NA,2,3.25,2.8,2.5,2.636363636,4.666666667,5,4.857142857,470,1,1.2,3.25,1.8,2.166666667,2,5.666666667,4.75,5.142857143,558,2,1.6,3.25,1.2,2,1.636363636,7,5.5,6.142857143,814,2,3.2,2.75,3.2,2.166666667,2.636363636,7,5.5,6.142857143,178,2,5.375,8.461538462,10,3.833333333,8.666666667,8.333333333,9,7.666666667,6.166666667,2.833333333,4.833333333,5.5,5.833333333,1.2,7,6.666666667,2.666666667,7,3.5,214,2,2.333333333,2.181818182,6,5.25,5.571428571,4.2,40,70,60,80,70,90,70,95,65,85,60,75,60,85,60,25,iPhone 6,2,NA,NA,12,70,1,1,1,1,N/A,1,1,1,4,7,There is a bit of clunkiness with the initial setup and there are some bugs that exist. I enjoyed using the app once the initial frustrations were overcome but that was what caused me to evaluate the app lower.,I enjoyed the ease of play once the app was set up.,I enjoyed the ability to add pictures.,I think that the leaderboard needs to work and maybe some sort of social media/friends list.,2,8,3,4,The music in the background was mildly distracting,3,It seems like a hassle sometimes to set up.,4,2,NA,The purpose of this study was to study happiness.,4,4,1,1,1
12,2.5,6.384615385,1.5,2.833333333,4.666666667,7.666666667,5.75,7.666666667,4.833333333,4.5,4.666666667,5,3.833333333,2.2,5.666666667,5.666666667,2.666666667,5.666666667,3.5,69,1.4,2,1.727272727,3.333333333,3.5,3.428571429,5.4,803,1,20,2,2,NA,3,Psychology,1,15,1,0,2,1,27,NA,3,1.4,1.5,1.454545455,2,1.75,1.857142857,1265,2,2.4,3.25,1,1.5,1.272727273,3.333333333,3.25,3.285714286,362,2,2,3,1,1.833333333,1.454545455,3.666666667,2.5,3,171,2,2.4,3.25,1,1.5,1.272727273,3.333333333,3.75,3.571428571,196,2,2.2,3,1,1.666666667,1.363636364,4.333333333,3.75,4,169,2,3.125,6.615384615,1,3.833333333,5.333333333,7.666666667,6,7.666666667,4.833333333,3.666666667,4.5,4.5,3.5,1.2,5,4.666666667,3.333333333,6,3.5,220,1.8,1.833333333,1.818181818,1.666666667,1.25,1.428571429,4.8,52,75,70,79,50,50,50,50,50,50,50,84,50,50,50,35,IPhone XS 10 Max,2,NA,NA,15,80,2,1,1,1,NA,1,2,2,3,5,The game would freeze and I would have to start from 0,I like the idea of the game that I have to remember pictures/words because it helps me think/memorize more,The memorization,possibly use a different app because it would crash,1,2,2,3,NA,2,It freezes,3,2,NA,How happy I am,4,4,1,1,1
13,1.875,5.230769231,1,2.166666667,2.666666667,5.666666667,5,7.666666667,2.166666667,6.5,3,3.666666667,1.666666667,4,3.333333333,3.666666667,6.333333333,6.333333333,3,35,2.8,4.333333333,3.636363636,3.333333333,2,2.571428571,1.6,533,1,22,2,1,NA,4,Business,2,0,3,3,2,0,30,4.6,3.75,2.2,4,3.181818182,1.666666667,2,1.857142857,1210,NA,3.8,4,2.8,3.833333333,3.363636364,2,1.75,1.857142857,871,2,5,4,2.4,4.666666667,3.636363636,3,2.75,2.857142857,959,1,5,3.5,2.2,3.333333333,2.818181818,3.333333333,2.5,2.857142857,288,1,5,4,2,3.166666667,2.636363636,4.333333333,3.75,4,1101,1,2.375,2.538461538,1,2.833333333,1,1,4,3.666666667,1.166666667,6.666666667,2.666666667,3.666666667,1,3,2.666666667,2.666666667,5.333333333,6.333333333,3.5,174,2.4,3,2.727272727,3.666666667,4,3.857142857,2.6,80,40,60,70,90,90,20,30,70,50,60,70,100,100,100,100,iPhone X,2,NA,NA,10,60,2,2,2,2,Not aware of any,1,2,2,2,3,"Very simple app, same thing over and over. Could look nicer.",Do not like the look of it,Easy ability to add new photos,Better designs,0,0,1,2,Timer,1,"Boring, same thing every time",1,2,NA,"As people play and improve, do people feel happier/more confident and does it impact the survey",4,4,1,1,2
14,1.875,6.846153846,2.5,1.666666667,4.666666667,6.666666667,6.75,9.333333333,4.333333333,6.833333333,4.333333333,5.666666667,2.333333333,3.6,4,3.333333333,5,6,3,30,3.8,2.666666667,3.181818182,2.666666667,1.5,2,2.2,1837,1,22,2,2,NA,4,Economics & Administrative Studies,2,0,3,0,1,0,32,2.6,2.5,NA,NA,NA,NA,NA,NA,265,2,2.2,2.5,2.8,2.5,2.636363636,4.333333333,2,3,1107,1,2,2.75,2.2,1.833333333,2,3.666666667,2.5,3,606,2,3.2,2.75,2,3.5,2.818181818,2.666666667,1.25,1.857142857,1019,2,3.8,2.75,2,2,2,3.333333333,1.25,2.142857143,922,1,1.625,6,1,1.833333333,5,6,5,8.333333333,4.333333333,6,4.5,5.666666667,1.833333333,2,4.666666667,4.666666667,5.666666667,6,3.75,85,2.6,3.166666667,2.909090909,3.333333333,1.5,2.285714286,1.8,75,10,25,25,60,75,86,65,76,20,65,85,75,85,70,75,LG G7 ThinQ,2,NA,NA,10,70,1,2,2,2,Peak,1,1,2,1,7,Setting up the game/word list was a bit strange at first. Unclear about intent & impact of this product. Overall good appearance and easy to get the hang of.,Easy to get the hang of/get used to. Penalty incurred if you don't answer quick enough.,Easy to use/understand the game.,Timer,0,0,2,4,Penalties resulting in end of game.,2,Don't like seeing my picture.,4,1,Issues at home,To improve memory.,4,4,1,1,2
15,1.625,8.230769231,1,1.833333333,7.333333333,9.666666667,7,9.333333333,6,3,5.833333333,5.666666667,6,1.2,6.333333333,6.666666667,1.333333333,7,2.5,70,1.4,1,1.181818182,3.333333333,1.5,2.285714286,5.4,5918,1,22,2,6,Asian and Pacific Islander,4,psychology,1,20,4,10,2,0,36,NA,2.5,1.8,1.166666667,1.454545455,2.333333333,1.5,1.857142857,330,2,3,2.75,1.6,1.333333333,1.454545455,2,1.25,1.571428571,908,2,2,2.25,1.2,1,1.090909091,3.666666667,2.25,2.857142857,1096,2,1,3.25,1,1.666666667,1.363636364,4.333333333,4,4.142857143,954,2,1.2,2.5,1,1.833333333,1.454545455,1.333333333,2,1.714285714,910,2,1.625,8.461538462,1,1.833333333,8,10,7,9.333333333,5.166666667,2.333333333,6.666666667,6,5.5,1,6,6.666666667,1.666666667,7,2.75,257,1.2,1.333333333,1.272727273,4.333333333,2,3,5.8,85,78,90,95,80,95,100,100,60,80,50,60,20,15,70,11,iPhone 8 Plus,2,NA,NA,10,50,1,2,2,2,none,1,2,2,1,5,"It was pretty lack-luster in graphic design, and I never felt incentive to play",I liked that you could upload your own photos. I didn't like that it felt very underwhelming in design.,none,Make the levels different,0,0,1,2,the gameplay,1,it was boring,2,2,NA,"I have no clue. I thought it was to test memory, or a new app, or how well we follow instructions? I have no idea.",4,5,1,1,2
16,1.875,9.846153846,1,2.166666667,10,9.666666667,9.75,10,6,2.5,5.666666667,4.5,4.666666667,2,7,6.666666667,2.666666667,7,3,75,2.4,3,2.727272727,6.666666667,5.25,5.857142857,6.8,793,1,21,2,3,NA,4,psychology,1,25,6,3,2,1,37,1.6,3,NA,NA,NA,NA,NA,NA,653,2,1.4,3,1.4,2,1.727272727,7,5,5.857142857,1158,1,1.2,2.5,1.2,1.833333333,1.545454545,5.666666667,4.25,4.857142857,462,2,1,3,2.2,2,2.090909091,7,5.5,6.142857143,407,2,1.4,3,2.2,2,2.090909091,7,5.5,6.142857143,191,2,1.875,9.923076923,1,2.166666667,10,10,9.75,10,6.333333333,2.333333333,6,5.666666667,5.166666667,0.8,7,7,1.666666667,7,3,283,3,2,2.454545455,7,4.75,5.714285714,7,100,100,100,100,100,100,100,100,100,100,100,100,9,9,0,0,iPhone 11,2,NA,NA,10,45,2,2,1,2,No idea,1,2,2,1,2,I didn’t think it was created well. I don’t see a point in using it.,"I didn’t like that I had to use it. It didn’t help me, but I did get better at recognizing & being faster mentally.",None,None,0,0,1,1,I just didn’t like it,1,Boring. Not created well or engaging,1,2,NA,"To help & monitor how it will improve your mind, speed, & memorization.",4,4,1,1,1
17,2.5,6.923076923,2,2.666666667,6.333333333,7.666666667,6,8,6,2.833333333,5.333333333,6.5,3.5,3,5.666666667,5.666666667,3,4.666666667,2.5,64,1.4,2.333333333,1.909090909,4,3,3.428571429,3.8,929,1,26,2,2,NA,3,Psychology,2,0,8,4,2,0,40,2,NA,1.4,1.5,1.454545455,4,3,3.428571429,417,2,2.4,3,1,1.666666667,1.363636364,4.333333333,2.75,3.428571429,226,2,1.4,2.5,1.4,1.333333333,1.363636364,4.333333333,2,3,457,2,1.8,3,1.4,1.666666667,1.545454545,3.666666667,3,3.285714286,304,2,2.4,2.75,1.8,1.333333333,1.545454545,3.666666667,2.25,2.857142857,538,2,2.625,6.384615385,2,2.833333333,5.666666667,7,5.5,7.666666667,6,3.666666667,5,6.166666667,3,1.2,5.333333333,5.666666667,2,6,3,189,1.8,1.5,1.636363636,3.666666667,3.25,3.428571429,5,68,77,58,67,67,80,62,75,51,57,58,72,53,67,58,36,iPhone X apple,2,NA,NA,10,10,2,2,2,2,I haven't used any similar products,1,2,2,3,6,Th product was a bit confusing and unclear to use originally.,I like the concept. I enjoyed the personal interaction with the personal images. I believe it that visually it can be worked on and also just more clear on the process of how the game is played.,the images,focus on the visual outlook of the game and informative process of how to play,1,2,2,3,the image topic,1,after a while I lost interest. maybe the type of images will keep me more interactive.,4,2,NA,attention to detail pertaining on what was important to you,5,5,1,1,2
18,2.125,8.384615385,1.5,2.333333333,7.666666667,9,7.75,9.333333333,6.5,2.166666667,5.333333333,5.5,4.166666667,2.4,6,6,2.333333333,6.333333333,2.75,76,1.2,1.333333333,1.272727273,3.333333333,3.25,3.285714286,5,776,1,20,2,2,NA,3,Psychology,2,0,1,0,2,0,43,2,3.25,NA,NA,NA,NA,NA,NA,454,2,1.8,3.25,1.2,1.166666667,1.181818182,4,2.75,3.285714286,1061,2,1.6,3.25,1.2,1.5,1.363636364,4,4.5,4.285714286,912,1,1.8,3,2,1.333333333,1.636363636,4,3.75,3.857142857,837,2,1.8,3,1.2,1.333333333,1.272727273,3.666666667,2.75,3.142857143,750,1,1.875,7.923076923,1,2.166666667,6,8.666666667,8.25,8.666666667,6.666666667,2,5.666666667,5.666666667,4.333333333,1.2,5.666666667,6,1.333333333,6,3.25,223,1,1.333333333,1.181818182,5.333333333,3.5,4.285714286,5.2,75,75,72,68,85,85,76,80,85,88,76,77,44,50,12,12,iPhone 8,2,NA,NA,10,50,1,2,1,1,flashcards,1,1,2,4,7,it is easy to use,I like how easy it is to use the most & the visual design the least,the game itself,smoother transitions in the pictures,0.99,0.99,2,3,the score,1,I don't find the app necessary in my daily life,4,2,NA,to test a developing app,4,4,1,1,2
19,4.25,8.384615385,6,3.666666667,6.666666667,9.333333333,8.25,9.333333333,4.5,3.166666667,4.833333333,5.333333333,2.166666667,2,3.666666667,4,3.666666667,6.666666667,2.5,46,1.4,2.333333333,1.909090909,4.333333333,3.5,3.857142857,4.8,1271,1,21,1,1,NA,3,Psychology,2,0,0.5,0,1,1,46,2.6,1.75,1.4,2.333333333,1.909090909,4,3.75,3.857142857,805,NA,3.4,2.5,1.2,2.666666667,2,3.666666667,4.75,4.285714286,276,1,3.2,2.25,1.4,2.333333333,1.909090909,4,4.5,4.285714286,1064,1,2.6,3,1.2,3.166666667,2.272727273,2.666666667,4.75,3.857142857,228,2,3,2.5,1.2,2,1.636363636,4.333333333,4,4.142857143,307,2,3.5,7.846153846,6,2.666666667,6.333333333,8.666666667,7.75,8.666666667,5,3.5,4.833333333,5.166666667,1.666666667,1.2,3.666666667,5.333333333,3.666666667,6.666666667,2.5,168,1.2,2.166666667,1.727272727,4.333333333,4.25,4.285714286,4.6,50,50,60,60,90,90,50,50,65,75,0,0,90,90,65,60,Samsung On5 SM-G550,2,NA,NA,10,60,1,2,1,2,Flashcard games,1,2,2,2,4,Very basic and laggy ui. Non visually appealing at all. It gets the job done though.,The lagginess,The core gameplay,Visuals,0,1,1,3,Dont know,1,Other games I have are much more fun,3,2,NA,To identify if my feelings and observations about life change whem i try to identify happy moments in my day.,3,3,1,1,1
20,5.625,7.384615385,9.5,4.333333333,5.666666667,7.666666667,8,8,4.5,3.166666667,5,4.833333333,4.666666667,2.8,5.333333333,5.333333333,3.666666667,6,3.25,68,2.6,2.333333333,2.454545455,5,3.75,4.285714286,5.8,1722,1,23,1,1,NA,4,economics,2,0,1,0,1,1,48,2.2,3,NA,NA,NA,NA,NA,NA,416,2,2,2.75,2.6,2.833333333,2.727272727,5.333333333,4.25,4.714285714,1572,2,3,3.5,1.2,2.666666667,2,4.333333333,3.5,3.857142857,882,2,3,3,3.2,3.166666667,3.181818182,4,3.75,3.857142857,3490,2,2.8,2.75,2,3.666666667,2.909090909,4.333333333,3.25,3.714285714,433,2,4.875,7,8,3.833333333,6.333333333,6.333333333,7.25,8,4.166666667,3,4.5,3.666666667,3.166666667,1.4,5.333333333,5,2.333333333,5.333333333,3.5,153,2,2.166666667,2.090909091,4.333333333,4,4.142857143,5.4,50,55,40,45,50,50,50,60,50,50,35,35,50,50,30,30,ios,2,NA,NA,8,5,2,2,2,2,guess who I am,1,2,2,2,5,I was not so interesting while I am playing this game,You can put your own picture,Make me remember the past event,More types of mode in the game,0.5,1,2,2,Not interesting,1,Time counting to slow,2,2,NA,Emotional influences,2,2,1,1,1
21,3.125,7.692307692,1,3.833333333,7.666666667,8.333333333,7,8,4.333333333,4.666666667,5.5,5.666666667,5,2.4,5,6,3.333333333,6,2.75,58,2,1.833333333,1.909090909,3.333333333,3.75,3.571428571,3.6,888,1,20,2,2,NA,3,Psychology,1,18,4,2,2,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,2.2,2.333333333,2.272727273,1.666666667,3.25,2.571428571,1165,2,2.8,3.25,1,1.666666667,1.363636364,1.333333333,1.75,1.571428571,313,2,2.6,2.25,2.8,1.833333333,2.272727273,1.333333333,3,2.285714286,459,2,2.6,2.75,1.2,1.666666667,1.454545455,1,3,2.142857143,149,2,2.625,9.153846154,1,3.166666667,9.333333333,9,9.25,9,4,4.166666667,3.5,4.166666667,3.666666667,1.4,3.333333333,5.666666667,5.333333333,2.666666667,3.75,188,4.6,4.5,4.545454545,4.333333333,5,4.714285714,2,40,40,63,63,64,42,64,57,61,44,61,39,62,42,61,63,iPhone 11 Pro,2,NA,NA,20,60,1,1,1,1,The Moron Test,1,1,1,4,8,Because it can use some modification to look nicer other than that it was fun.,It puts your brain up for a challenge.,How you can use your own pictures,Making it look more modern,1,3,3,4,That it looked robot like and not modern,3,That I use my own pictures which makes it funner,4,2,NA,I want to say that it's got to do with the brain activity on memorization,4,5,1,1,1
22,5.875,7.153846154,8.5,5,6.333333333,7.333333333,7.5,7.333333333,5.5,4.5,4.5,3.666666667,4,2.8,4.333333333,6,4.333333333,6,3.5,62,3,4.5,3.818181818,2.666666667,3,2.857142857,2.8,1350,1,31,1,2,NA,3,neuroscience,1,20,15,10,2,1,57,2.8,3.25,NA,NA,NA,NA,NA,NA,1761,2,2.6,3.25,2.2,4.166666667,3.272727273,2.666666667,3.5,3.142857143,2969,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,2.2,4.666666667,3.545454545,2.666666667,3.25,3,1083,1,2.8,2.75,2.2,4.166666667,3.272727273,3,3.5,3.285714286,2611,2,5,7.769230769,7.5,4.166666667,6.333333333,8,8.5,8,6,4,4.333333333,3.666666667,3.833333333,1.6,4,5.666666667,5,5.333333333,3.25,199,2.4,2.833333333,2.636363636,3.333333333,2.75,3,3.2,30,30,70,70,80,80,50,50,35,35,50,50,20,20,75,75,Samsung note 8,2,NA,NA,10,60,1,2,2,2,Bop it,1,2,2,1,2,The sign in process was really annoying and the app would freeze sometimes,Sign in was annoying,None,Easier login,0,0,1,1,I found the app to be a waste of time,1,That i dont see the point of it,1,2,NA,Current emotion state while playing a game,5,5,1,1,1
23,2.5,8.923076923,1,3,8.666666667,9.333333333,8.5,9.333333333,5.333333333,2,6,6.166666667,4.833333333,2,6,6,1.666666667,6,3.75,68,2.2,2.666666667,2.454545455,5.333333333,4.5,4.857142857,4.2,751,1,21,2,2,NA,4,economics,2,0,2,12,2,0,59,2.4,NA,1.8,1.666666667,1.727272727,4.666666667,3.75,4.142857143,987,2,2,3,1,1.666666667,1.363636364,4.666666667,4.5,4.571428571,145,2,1.8,3.5,1,1.833333333,1.454545455,5.666666667,4.75,5.142857143,173,2,2,2,1,1.833333333,1.454545455,5,4.5,4.714285714,108,2,2.2,3,1,2.166666667,1.636363636,5.666666667,4.75,5.142857143,147,2,3.375,9.153846154,1,4.166666667,8.333333333,9.333333333,9.25,9.666666667,4.5,2.166666667,5.166666667,5.833333333,4.833333333,1.8,6,6,2,6,3,242,1,1.833333333,1.454545455,6,4.75,5.285714286,5.4,85,85,85,84,92,95,94,94,93,93,95,95,55,55,30,29,iPhone 10,1,100,0,10,70,1,2,2,2,Word puzzles,1,2,2,2,4,"The app would freeze, it was slow, graphics weren’t great",The game was somewhat fun. The app was slow,The score,Better graphics,0,0,2,3,It would freeze,2,I have other things to do,2,2,NA,To see how much I could memorize?,4,4,1,1,2
24,2.25,5.846153846,1,2.666666667,4,6.666666667,5.75,7,4.166666667,4.5,5,5.166666667,3.833333333,2.6,4.333333333,4.666666667,4,5.333333333,3,52,1.4,2.166666667,1.818181818,3.333333333,3,3.142857143,4.8,1135,1,21,2,1,NA,4,Psychology,2,0,4,8,2,0,64,2.4,3.25,3.2,2.666666667,2.909090909,2.666666667,3,2.857142857,558,NA,2.4,3,1.2,1.666666667,1.454545455,3,2.75,2.857142857,984,2,2.6,3.5,1.6,3.833333333,2.818181818,2.333333333,2.5,2.428571429,1098,2,3,3.25,1,2,1.545454545,2.333333333,3,2.714285714,847,2,1.8,3,1.2,1.5,1.363636364,3.666666667,2.75,3.142857143,904,2,3,5.538461538,2.5,3.166666667,4.333333333,6,5.25,6.666666667,4.166666667,4.833333333,5,4.666666667,3.5,1,4,5,5.666666667,5.333333333,3,196,1.4,2.666666667,2.090909091,1.666666667,2.5,2.142857143,4.6,70,70,70,70,60,75,60,75,80,75,70,70,80,75,80,60,iPhone XR,2,NA,NA,10,70,1,2,1,2,"Bop it, any memory games both physical and mobile",1,1,2,3,6,"It is an innovative way to train your memory by using pictures that one is familiar with (such as your own hand and a selfie). However, it would be nice if the game could be more challenging with each level and include all the pictures instead of some at some points. The game also lagged at times with the countdown not counting down all the way or the pictures flashing too quickly. Also, sometimes you would have to click on your answer repeatedly before the game tells you if the answer selected is correct or not.",What I liked least about this app is the same pattern it has and would prefer the recall to be a bit different. What I liked most about this app is the ability to use your own pictures.,The feature of this product that is most important to me is recalling the order of the pictures because it helps in retaining info and using short term memory. The number of lives for the app is also helpful in order to help the player be accountable for what they remember.,The most important feature I think that should be added is the option to view all the pictures at once instead of a few at one time because it can be confusing when playing the game to know if the picture added before to the list of words will actually be used. It made me contemplate a few times in the beginning if I added the pictures to the list correctly.,0,0.99,2,3,The feature of this product that is least important to me is the high score list because it never actually showed my high score and the function I believe never worked.,1,I simply just do not have time to play the game on my phone,3,1,I took this survey while in a meeting because it was the only time this whole day where I was available to take it,The purpose of this study is to track short term memory and to decipher if a participant is a leader or a follower and from playing the game and from taking the survey and indicating if the participant did tasks without thinking about it or if they did.,4,4,1,1,2
25,2.125,6.923076923,3.5,1.666666667,5,7.333333333,7,8.333333333,5.833333333,4,5.333333333,5.333333333,2.166666667,2.2,4.333333333,5,3.666666667,5.666666667,3,56,1.6,1.666666667,1.636363636,1.666666667,1.5,1.571428571,5,1360,1,23,2,3,NA,4,Psychology,2,0,2,0,2,1,65,2,NA,1.6,2,1.818181818,2.333333333,2.75,2.571428571,2069,2,2,3.25,1.6,1.833333333,1.727272727,2,1.5,1.714285714,1000,2,2.6,2.75,1.2,1.5,1.363636364,1.666666667,1.25,1.428571429,1063,2,2,2.75,1.6,1.833333333,1.727272727,2.333333333,1.75,2,888,2,2,3.25,1.4,2,1.727272727,2,1.75,1.857142857,3796,2,2.5,6.384615385,4.5,1.833333333,4.666666667,6.333333333,6.5,8,5.5,3.833333333,4.666666667,5.333333333,2,1.2,4.333333333,5,3.666666667,5.666666667,2.75,209,1.2,1.666666667,1.454545455,2,1.75,1.857142857,4.8,70,70,75,75,80,80,65,65,51,51,53,54,70,71,75,75,Google pixel 3,2,NA,NA,10,70,1,1,1,1,I haven't used an application like this before,1,1,2,1,8,It was a pretty good app. The only issue I ran into was that it would crash occasionally while I was playing,It's easy to use and navigate,You're able to add your own pictures,I don't know,1,1,2,3,I don't know,2,It's more of an educational tool instead of a fun game,3,2,NA,To measure how much I could remember,4,4,1,1,1
26,1.625,6.615384615,1,1.833333333,3.666666667,8.666666667,6,8.333333333,6,4.166666667,4.666666667,5.833333333,2.833333333,1.4,5.333333333,5.333333333,1.666666667,6,2.5,63,2,1.666666667,1.818181818,3.333333333,2.75,3,6.2,1273,1,23,2,3,NA,4,Psychology,2,0,0,1,2,1,66,1.6,NA,1,1.833333333,1.454545455,6,4.75,5.285714286,1147,2,1.8,2.25,1.6,1.333333333,1.454545455,4.333333333,2,3,1398,2,1.2,2.5,1,1.333333333,1.181818182,5.333333333,3,4,895,2,1,2.75,1,1.833333333,1.454545455,5,4.75,4.857142857,703,2,1.6,2.5,1.2,1.166666667,1.181818182,5,2,3.285714286,729,2,1.75,8.230769231,3.5,1.166666667,6,9,8.5,9.333333333,6.333333333,4,4.5,6.166666667,2.333333333,0.6,6,6.333333333,1,7,2.5,241,1,1.166666667,1.090909091,5.333333333,3.75,4.428571429,7,70,95,60,100,80,100,55,90,70,85,50,95,20,0,0,0,iPhone 8 Plus,1,98,2,10,50,1,2,1,2,none,1,2,2,1,3,"The app was easy to use, but I did not like the look of it. Also, there was sometimes a lag between the picture selection and the answer reveal.",I liked the look the least.,How pictures are uploaded to the game.,An increase in the size of the images during game play.,0,0.99,2,2,Having to log in to use it,1,"It is boring to play, the highscores were not recorded, and I wish you could choose what color the background was.",2,2,NA,To condition oneself to be happier and/or have more gratitude by associating oneself with things that make them happy.,5,5,1,1,1
27,1.875,4,1,2.166666667,2.666666667,4,4,5.333333333,4,5,3.833333333,4.833333333,2,3,4,4.666666667,4.666666667,6,3.75,52,1.4,2.5,2,4.333333333,3.75,4,4.8,2034,1,20,2,2,NA,3,Psychology,1,11,0.5,4,1,1,73,3,3.25,1,2.333333333,1.727272727,4.333333333,3.75,4,473,NA,3.4,2.75,1.4,1.833333333,1.636363636,2.333333333,2,2.142857143,1126,2,3,3,1.4,2,1.727272727,3,2.75,2.857142857,2164,1,2,3.25,1.4,1.666666667,1.545454545,4,3.25,3.571428571,1248,2,2.8,3,1.8,2,1.909090909,3,2.5,2.714285714,1091,2,1.75,5.076923077,1,2,2.666666667,6,4.5,7.333333333,4.833333333,4.833333333,3.5,4.833333333,3.166666667,1.8,5.333333333,4,4,6,3,206,1.4,1.666666667,1.545454545,4.666666667,2.75,3.571428571,4.6,70,90,70,75,93,98,18,40,60,70,80,80,95,90,70,79,iPhone 11,2,NA,NA,10,60,1,2,1,1,None,1,2,2,1,6,The app was useful but there was hardly anything that made it appealing to use.,I disliked the colors of the app. It made me feel blue at times.,Easy usage.,Better colors and graphics.,1,2,1,1,None,1,"The set up of the app made it tedious. Also, there was no prizes in the app and it made it boring.",2,2,NA,I was not able to comprehend the purpose of the study.,4,5,1,1,1
